PWSID,SupplierName,ZIP,size,County,Hydrologic Region,Climate Zone,Population_21,PDSI_div
CA3600270,GOLDEN STATE WATER CO - MORONGO,92256,SWS,San Bernardino,Colorado River,14.0,870.0,40705.0
CA3600279,GOLDEN STATE WATER CO - DESERT VIEW,92308,SWS,San Bernardino,Colorado River,14.0,125.0,40705.0
CA3600345,WEST END MWC,92356,SWS,San Bernardino,Colorado River,14.0,63.0,40705.0
CA3610004,WEST VALLEY WATER DISTRICT,92377,LWS,San Bernardino,South Coast,10.0,94332.0,40605.0
CA3610008,BIG BEAR CITY CSD,92314,LWS,San Bernardino,South Coast,16.0,12537.0,40605.0
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,92284,LWS,San Bernardino,Colorado River,14.0,3689.0,40705.0
CA3610012,"CHINO, CITY OF",91710,LWS,San Bernardino,South Coast,10.0,78463.0,40605.0
CA3610013,"LOMA LINDA, CITY OF",92354,LWS,San Bernardino,South Coast,10.0,24482.0,40605.0
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,92325,LWS,San Bernardino,South Lahontan,16.0,8360.0,40705.0
CA3610025,JOSHUA BASIN WATER DISTRICT,92252,LWS,San Bernardino,Colorado River,14.0,9665.0,40705.0
CA3610030,MARIANA RANCHOS CWD,92308,SWS,San Bernardino,South Lahontan,14.0,1459.0,40705.0
CA3610032,"NEEDLES, CITY OF",92363,LWS,San Bernardino,Colorado River,15.0,5183.0,40705.0
CA3610034,ONTARIO MUNICIPAL UTILITIES COMPANY,91761,LWS,San Bernardino,South Coast,10.0,185010.0,40605.0
CA3610036,"CHINO HILLS, CITY OF",91709,LWS,San Bernardino,South Coast,10.0,82490.0,40605.0
CA3610037,REDLANDS CITY MUD-WATER DIV,92373,LWS,San Bernardino,South Coast,10.0,78025.0,40605.0
CA3610038,"RIALTO, CITY OF",92376,LWS,San Bernardino,South Coast,10.0,54453.0,40605.0
CA3610039,SAN BERNARDINO CITY,92415,LWS,San Bernardino,South Coast,10.0,204870.0,40605.0
CA3610043,GOLDEN STATE WATER CO - BARSTOW,92311,LWS,San Bernardino,South Lahontan,14.0,32869.0,40705.0
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,92397,LWS,San Bernardino,South Lahontan,14.0,4151.0,40705.0
CA3610051,VALLEY OF ENCHANTMENT MWC,92325,SWS,San Bernardino,South Lahontan,16.0,1992.0,40705.0
CA3610052,VICTORVILLE WATER DISTRICT,92392,LWS,San Bernardino,South Lahontan,14.0,124653.0,40705.0
CA3610053,WESTERN HEIGHTS WATER COMPANY,92399,LWS,San Bernardino,South Coast,10.0,7521.0,40605.0
CA3610055,YUCAIPA VALLEY WATER DISTRICT,92399,LWS,Riverside.San Bernardino,South Coast,10.0,51558.0,40605.0
CA3610062,RUNNING SPRINGS WATER DISTRICT,92382,LWS,San Bernardino,South Lahontan,16.0,4862.0,40705.0
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,92256,SWS,San Bernardino,Colorado River,14.0,1706.0,40705.0
CA3610073,HI DESERT WD,92284,LWS,San Bernardino,Colorado River,14.0,25653.0,40705.0
CA3610085,SAN ANTONIO WATER COMPANY,91786,LWS,San Bernardino,South Coast,10.0,3371.0,40605.0
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,92308,SWS,San Bernardino,South Lahontan,14.0,2106.0,40705.0
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,92308,LWS,San Bernardino,South Lahontan,14.0,6180.0,40705.0
CA3610108,GOLDEN STATE WATER CO - LUCERNE,92308,SWS,San Bernardino,South Lahontan,14.0,751.0,40705.0
CA3610109,SHEEP CREEK WATER COMPANY,92371,LWS,San Bernardino,South Lahontan,14.0,3623.0,40705.0
CA3610110,ARROWBEAR PARK CWD,92382,SWS,San Bernardino,South Lahontan,16.0,1856.0,40705.0
CA3610112,HELENDALE COMMUNITY SERVICE DISTRICT,92342,LWS,San Bernardino,South Lahontan,14.0,5849.0,40705.0
CA3610114,CLAWA,92325,LWS,San Bernardino,South Lahontan,16.0,2320.0,40705.0
CA3610121,SBDNO COUNTY SERVICE AREA 64,92394,LWS,San Bernardino,South Lahontan,14.0,14678.0,40705.0
CA3610854,SEARLES VALLEY MINERALS OPERATIONS INC,93562,LWS,Kern,South Lahontan,14.0,1818.0,40705.0
CA3700937,LAZY H MUTUAL WATER COMPANY,92061,SWS,San Diego,South Coast,10.0,142.0,40605.0
CA3700938,YUIMA MUNICIPAL WATER DISTRICT IDA,92061,SWS,San Diego,South Coast,10.0,593.0,40605.0
CA3710001,CALIFORNIA-AMERICAN WATER CO,91932,LWS,San Diego,South Coast,7.0,95000.0,40605.0
CA3710002,VALLECITOS WD,92069,LWS,San Diego,South Coast,10.0,105513.0,40605.0
CA3710004,"DEL MAR, CITY OF",92014,LWS,San Diego,South Coast,7.0,4268.0,40605.0
CA3710008,FALLBROOK PUD,92028,LWS,San Diego,South Coast,10.0,35237.0,40605.0
CA3710014,"OCEANSIDE, CITY OF",92054,LWS,San Diego,South Coast,7.0,178021.0,40605.0
CA3710015,"POWAY, CITY OF",92064,LWS,San Diego,South Coast,10.0,49737.0,40605.0
CA3710018,RINCON DEL DIABLO MWD (ID-1),92026,LWS,San Diego,South Coast,10.0,28689.0,40605.0
CA3710021,SAN DIEGUITO WD,92024,LWS,San Diego,South Coast,7.0,39722.0,40605.0
CA3710026,VALLEY CENTER MWD,92082,LWS,San Diego,South Coast,10.0,28507.0,40605.0
CA3710027,VISTA IRRIGATION DISTRICT,92081,LWS,San Diego,South Coast,7.0,134588.0,40605.0
CA3710044,RINCON DEL DIABLO MWD (ID-A),92026,LWS,San Diego,South Coast,10.0,3330.0,40605.0
CA3810001,SAN FRANCISCO REGIONAL WATER SYSTEM,94102,LWS,San Francisco,San Francisco Bay,3.0,2600600.0,40405.0
CA3810011,SFPUC CITY DISTRIBUTION DIVISION,94102,LWS,Alameda.San Francisco.San Mateo.Santa Clara,San Francisco Bay,3.0,884363.0,40405.0
CA3910005,"MANTECA, CITY OF",95337,LWS,San Joaquin,San Joaquin River,12.0,84625.0,40505.0
CA3910007,"RIPON, CITY OF",95366,LWS,San Joaquin,San Joaquin River,12.0,16292.0,40505.0
CA3910008,LOCKEFORD COMMUNITY SERV. DIST.,95237,SWS,San Joaquin,San Joaquin River,12.0,2500.0,40505.0
CA3910011,"TRACY, CITY OF",95376,LWS,San Joaquin,San Joaquin River,12.0,96345.0,40505.0
CA3910012,CITY OF STOCKTON,95206,LWS,San Joaquin,San Joaquin River,12.0,183046.0,40505.0
CA3910015,CITY OF LATHROP,95330,LWS,San Joaquin,San Joaquin River,12.0,26833.0,40505.0
